URL,Name,Address,Capital,Sales,Market,President
https://baseconnect.in/companies/4f6c3f50-6b3a-49a7-b197-d2fd7a905e03,ＰＴＣジャパン株式会社,〒160-0023東京都新宿区西新宿６丁目８番１号,5000万円,,未上場,情報あり
https://baseconnect.in/companies/647cf1b9-f0bd-463a-912d-42ad6a02d3a7,株式会社スカラ,〒150-0002東京都渋谷区渋谷２丁目２１番１号,17億9400万円,,東証プライム,情報あり
https://baseconnect.in/companies/keyword,事業内容ごとに会社を探す,,,,,
https://baseconnect.in/companies/444f66e9-ebd1-4977-8e58-d9bff96821e9,株式会社西出自動車工作所,〒550-0013大阪府大阪市西区新町１丁目１２番８号,2000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/0dcedb5c-e999-4c5d-8ee7-f308d173501f,オーエスエレクトロニクス株式会社,〒101-0021東京都千代田区外神田３丁目１６番８号,9900万円,300億〜1000億円,未上場,情報あり
https://baseconnect.in/companies/18231eba-e3af-49ad-aa66-54794e296a64,株式会社ジャストオートリーシング,〒224-0025神奈川県横浜市都筑区早渕１丁目１番１１号,3億6270万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/de6e6972-b446-428d-be04-7fa7e6c0af43,株式会社エヌ・ティ・ティ・データＮＣＢ,〒812-0011福岡県福岡市博多区博多駅前１丁目１７番２１号ＮＴＴＤＡＴＡ博多駅前ビル,5000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/c5348b18-4302-40f7-9ee3-33067f2bcbcd,株式会社アビット,〒103-0013東京都中央区日本橋人形町３丁目１０番１号,5000万円,,未上場,情報あり
https://baseconnect.in/companies/cedd5ad7-5f0c-4488-b0cc-602f22da69d0,ノックスデータ株式会社,〒140-0013東京都品川区南大井６丁目２６番２号大森ベルポートＢ館,4500万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/b1b7b638-30f5-449f-8b4c-7c50b5228f01,ＮＸ情報システム株式会社,〒101-0024東京都千代田区神田和泉町２番地,3000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/552e467f-e1df-4727-aa15-c7d4eb64d125,株式会社ワンゴジュウゴ,〒102-0094東京都千代田区紀尾井町３番６号,5000万円,,未上場,情報あり
https://baseconnect.in/companies/11eceed6-6598-4367-90e2-b8d9eb683c40,株式会社日立製作所,〒100-0005東京都千代田区丸の内１丁目６番６号,4634億1700万円,1000億円以上,東証プライム,情報あり
https://baseconnect.in/companies/e65e1c25-2420-4248-a5dd-64cfc7169f35,株式会社ヤザワコーポレーション,〒116-0014東京都荒川区東日暮里１丁目３２番６号,9000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/12e8e2de-d548-418e-b10f-4b1a27e81e47,ネットイヤーグループ株式会社,〒104-0061東京都中央区銀座２丁目１５番２号,5億7000万円,10億〜50億円,東証グロース,情報あり
https://baseconnect.in/companies/740a67cb-e9fb-4de0-a359-1bda92ded14b,富士インフォックス・ネット株式会社,〒108-0014東京都港区芝５丁目１３番１５号,6000万円,,未上場,情報あり
https://baseconnect.in/companies/508d74c3-bcd3-484a-afe9-967203fc6e35,システム・エナジー株式会社,〒170-0013東京都豊島区東池袋１丁目３３番８号,5000万円,10億〜50億円,未上場,
